"rt","group","age","child.old20","aoa","letter.cnt","llm_freq_log","log_frequency_per_million_hi_kids","log_frequency_per_million_lo_kids","log_frequency_per_million_hi_adults","log_frequency_per_million_lo_adults","log_frequency_per_million_ll_lo","log_frequency_per_million_ll_sh","log_frequency_per_million_ds_lo","log_frequency_per_million_ds_sh","dwds_freq_log","childlex_freq_log","word"
8.10741881171997,"Kids",1,1.8,3.73,5,5.20215971630042,5.30136382198418,5.259608261846,5.2681584321128,5.25910624796773,4.30454769329699,5.58540124735063,4.82553801225714,6.13913631069912,4.70238763670345,5.61262761405524,"Abend"
8.27026911143662,"Kids",1,2.6,5.19,8,2.79521460798213,3.66720721147758,3.46539425607378,3.59744008846068,3.6068257422892,5.17400712548705,1.85240089825095,4.07227963598435,4.17958338524002,3.20258382809122,3.57772276509041,"Abschied"
8.1461295100254,"Kids",1,1.7,5.32,5,2.08186472010467,1.97995227668668,2.13893568656456,1.76392882455241,0.971534895469414,2.11901915572397,2.67771985191938,2.77124992651915,3.52417653266292,2.78778516912106,2.40853583826231,"Adler"
8.22764270790443,"Kids",1,2.4,5.6,7,2.4241509265913,0.655302078677991,0.839652702434296,1.8528763105689,1.58244397779239,3.84675676618709,1.55012002637801,3.2103316454263,2.75850290803471,2.71011473515109,3.31992159384858,"Adresse"
7.67229245562876,"Kids",1,1.8,3.38,4,2.96916791510557,3.3097680336461,3.40174899091343,1.43671591334399,1.9973878298551,0.0625671322688292,1.55012002637801,1.30491285772572,2.84329944469479,1.35273757759105,2.72027852015011,"Affe"
8.13856473726163,"Kids",1,1.95,6.15,5,2.34892750535372,2.58240289577581,2.63449383819976,2.35943753554844,2.42154507097541,0.92276839749194,3.87883142396428,2.46632604763286,3.53644662525474,1.50006937537874,2.19151221600291,"Alarm"
7.99833539595298,"Kids",1,1.95,3.79,6,0.587939694792414,1.32647035251916,1.24511781054246,-0.205511821913102,-0.874291795028917,-0.255886598849706,-0.877628209570038,2.54970765657191,2.73159545511479,0.620038708739307,1.66541052460408,"Ameise"
7.9483852851119,"Kids",1,1.9,3.77,5,0.387268999330262,-0.177607044257113,-1.06988980245014,0.0821702505386792,-0.363466171262927,-2.33532814052954,0.103201043441688,0.493982641509395,-0.0229747616223141,0.853137916868886,1.85204073828177,"Ampel"
7.91826468609527,"Kids",1,1.85,5.21,5,-1.80995557800596,-1.22742916875579,-0.441281143027768,0.487635358646844,-1.27975690313708,-2.33532814052954,-1.97624049823815,1.98407379631093,2.26522159391963,0.657520002916794,1.49847677389365,"Amsel"
8.20576472523446,"Kids",1,1.9,5.04,6,3.61057942126633,3.64230067226323,3.47871003204955,4.60531660104818,4.52236147223998,6.30814521679703,3.53718824792683,5.56367269838697,4.06180034958364,4.70980043506617,4.38866229402062,"Anfang"
8.11790894238315,"Kids",1,1.85,3.72,5,6.73134468875351,6.30641731780997,6.30520932168602,6.16837663415635,6.17061332210045,4.98784257741393,5.76442390367909,5.90869318942476,6.41088360482694,4.47779125665826,6.03996319365769,"Angst"
8.18562889114761,"Kids",1,2.65,6.08,7,-0.423661216886066,-1.22742916875579,-1.53989343169588,-1.99727129114116,-1.97290408369703,-0.543568671301486,-1.97624049823815,2.19873073374782,1.76878470760574,0.685618914139154,-0.205824487532318,"Antenne"
8.11342663994365,"Kids",1,1.75,3.2,5,3.01835815929634,2.75890586963691,2.82701956516796,1.13822292478799,1.39439174628945,3.202006126489,4.40557551916795,3.09203194739728,4.20281568673329,1.81807677754543,3.55859881114139,"Apfel"
8.19726337141434,"Kids",1,2.45,5.08,5,-1.80995557800596,0.0455365070570971,-1.76303698301009,0.199953286195063,-0.586609722577136,1.24819079792657,-1.2830933176782,-0.892311719610496,-1.96888491067763,4.65368412153372,2.95763731435418,"April"
8.12592680270789,"Kids",1,2.2,5.28,6,5.8858024125488,5.0717826486675,5.09184480636498,5.59206453202946,5.65512704323331,6.55204834485022,5.735308481391,3.91170932512276,3.8861870115248,5.70331236417158,5.10592195594551,"Arbeit"
8.14002395246292,"Kids",1,1.65,4.19,5,2.81501723527831,3.64885807280939,3.6294535535552,3.54399225401727,3.40237432398714,1.47133434924078,3.39439752988952,2.90877972511037,4.25765175860984,2.53282341678412,4.33860666195056,"Ärger"
7.7828072628397,"Kids",1,1.2,2.65,3,3.37182797228613,3.47952371154224,3.38008749413225,3.34026678856016,3.37895404977904,2.78863583887372,3.74407127836926,4.3560272771313,4.29831563786373,4.24011738849119,5.76946260613187,"Arm"
8.02518932189084,"Kids",1,1,6.15,3,-1.80995557800596,4.67793267929878,4.53866582226304,5.34096685892443,5.30641475171759,4.74889828156837,4.03502667616601,5.1766924049529,3.84822624928558,5.76845536176626,5.01298953865672,"Art"
7.94165125293056,"Kids",1,1.95,3.85,4,3.66231509566552,2.6556062997991,2.67371455135304,3.26541889776373,3.37895404977904,2.10732311596077,2.28643937880317,0.899447749617559,2.51975145905451,4.44523614807177,3.54696944084899,"Arzt"
7.82923253754359,"Kids",1,1,4.24,3,3.96459596753845,4.55902990447328,4.59046311427872,2.78185220197037,2.79778054076864,2.11901915572397,3.57283558665707,4.16393408573781,4.95671028643284,1.6286521313579,3.68874987063266,"Ast"
8.26642147298455,"Kids",1,2.3,5.2,7,5.26331413945375,4.95465573796084,4.99273193897417,4.83898798613591,4.92277861405084,4.42044078145471,4.41567661515445,4.36518365241729,4.72071435850134,4.89255721491881,4.05387486071817,"Aufgabe"
8.3291754420774,"Kids",1,2.75,8.4,7,0.898094623096253,-0.870754224817058,-0.51027401451472,0.400623981657214,-0.586609722577136,-1.6421809599696,-1.2830933176782,-0.332695931675073,1.20916891967032,2.95031641002351,2.66525229091583,"Aufsatz"
7.67229245562876,"Kids",1,1.45,3.08,4,3.13880431237221,3.67572696482235,3.56483918577949,3.86635988445694,3.71407127264279,2.95797668419495,3.0671846186811,5.2246835499447,3.95269350896619,4.3316934055919,4.82614587426421,"Auge"
8.11492297420459,"Kids",1,2.05,5.17,6,-1.80995557800596,0.122497548193225,-2.45618416357003,1.529089233475,0.224320493639192,-1.23671585186143,-1.2830933176782,-0.0813815033941669,-0.177125441449572,4.66012227880194,2.69317767589074,"August"
7.80057265467065,"Kids",1,1.75,3.35,4,4.60514138116564,3.77363667432431,3.6385136381796,3.73282849183242,3.78914729908315,3.05374358928696,3.60725581054355,3.10129127281007,4.20072582181383,3.58229596871115,5.11001656700856,"Auto"
7.91862865334224,"Kids",1,1,3.38,3,1.65578032479377,1.29256880084348,1.09916389791938,1.93455434158317,1.28519245432446,0.149578509258459,2.22845212115282,1.81573848149171,1.28921162734385,3.02422254395362,0.774697590493966,"Bad"
